week,n_days,mae,rmse,actual_mean,pred_mean
2018-32,5,37.554279210033755,49.21334403769079,119.8,146.39917573697818
2018-33,5,49.450121010691646,55.334848629614264,77.8,122.94008223511351
2018-34,5,50.256167121520484,59.88947427525683,99.8,133.48598156515664
2018-35,4,37.69401327057935,40.73676282521642,127.0,101.86888024609405
2018-36,4,32.30386860851159,36.65929379854981,122.75,131.27959942063842
2018-37,5,27.57093284314995,29.772403112803783,127.8,108.66608074965765
2018-38,4,5.505966115679701,6.2385882758141475,122.25,124.69805995075583
2018-39,4,8.200825080830722,10.679843922909129,129.0,122.23389111749142
2018-40,5,10.339452705667867,12.458732724855018,142.6,138.6853758331756
2018-41,4,9.96011424381144,13.925965295781255,142.75,134.465461822418
2018-42,5,28.54878637343141,32.56239890603473,153.6,128.2154255109248
2018-43,5,120.19971214138941,213.01941339214622,252.0,135.48469144116515
2018-44,5,253.2983218041621,256.50605991174194,168.2,421.49832180416206
2018-45,5,98.74080544540689,127.18165964996959,142.8,234.73127707839362
2018-46,5,54.205113034264286,79.57315788547155,134.0,171.2274657237077
2018-47,4,26.297537525837726,29.110364750056245,128.0,142.23413078823742
2018-48,5,28.032073005344124,32.17357583636212,155.0,137.42037601416456
2018-49,5,33.9447401259155,38.379152464284054,171.2,138.09825531901646
2018-50,5,28.17448070308448,38.905497335790635,151.8,148.22476193072401
2018-51,5,19.200677489204725,23.860613032199822,126.2,144.16080145524842
2018-52,4,65.85869878895542,114.13340616072468,117.25,181.17329723582577
2019-01,4,81.08519007822849,83.81287600130818,39.25,120.33519007822849
2019-02,2,109.25066527439763,121.6198328683836,157.5,48.24933472560237
2019-05,1,2.3035101378358434,2.3035101378358434,179.0,181.30351013783584
2019-06,5,13.173427149048218,16.095893591215713,117.8,123.40481004049118
2019-07,4,19.403755952031624,20.496271211569262,126.5,114.9320758668958
2019-08,5,31.269209780171394,38.54804465977735,125.0,156.2692097801714
2019-09,5,51.20537030276671,62.95198948342817,131.8,181.3912909848851
2019-10,5,76.21091218576373,117.77149309894928,157.8,183.36440080300918
2019-11,5,20.735758312676992,33.529776892626685,134.8,148.72874428552421
