month,n_days,mae,rmse,actual_mean,pred_mean
2018-09,14,42.83090840309543,55.92421861540518,115.64285714285714,120.68091286170697
2018-10,22,61.367038092689384,107.37902913741598,174.9090909090909,119.56110111347176
2018-11,21,37.1530746690301,44.37699351113124,141.71428571428572,123.46757721643276
2018-12,20,39.96756171466665,51.19006997239579,135.75,151.5732858493245
2019-01,21,129.92735207434217,142.72575982863071,20.047619047619047,143.2313457679756
2019-02,19,108.03889404467373,163.4433374874353,128.0,160.54207176041274
2019-03,20,21.9033864124118,26.86895739204793,133.75,139.51329325792457
2019-04,20,37.55246040558227,44.4019215543096,164.75,127.86067615726809
2019-05,19,18.62786618014739,22.377037532045033,159.52631578947367,153.9106537145155
2019-06,20,17.036728680951086,21.10386421705885,156.05,150.71182729984463
2019-07,22,73.56419301519564,81.72834048621846,219.63636363636363,161.2658529778641
2019-08,21,94.60204176475355,124.31784398022408,256.4761904761905,182.82310068032112
