month,n_days,mae,rmse,actual_mean,pred_mean
2018-09,13,37.376171150983986,44.47131179985254,124.53846153846153,119.15191493641441
2018-10,22,55.32353876532998,105.88887852485857,174.9090909090909,127.09926151412311
2018-11,21,33.162327495271974,39.38846532560476,141.71428571428572,127.75459514435795
2018-12,19,31.765720721365323,39.050555533325586,142.89473684210526,150.15570203146447
2019-01,5,58.272766748573346,63.021535564290275,84.2,115.3011362533119
2019-02,19,15.528398984048005,20.497131496346096,128.0,121.25229902352889
2019-03,20,59.896133862745515,85.27164209059501,133.75,186.68916256165488
2019-04,22,35.40853650308599,41.679698419632544,155.6818181818182,133.81265228349557
2019-05,21,28.545954240035766,38.774997534642985,149.71428571428572,154.91988882606736
2019-06,20,19.65877459785375,23.370646233484717,156.05,145.76192841305485
2019-07,22,74.6556249825595,80.46636061471283,219.63636363636363,144.98073865380414
2019-08,21,100.30589158415196,134.57938443791255,256.4761904761905,176.81415441484108
