week,n_days,mae,rmse,actual_mean,pred_mean
2018-32,5,16.38865735854094,21.87390444007204,119.8,128.0334364029508
2018-33,5,40.967813666766304,48.85095811589288,77.8,118.7678136667663
2018-34,5,25.078996029112012,33.86359060705758,99.8,120.93327129951786
2018-35,4,42.129866034954944,47.82539189836266,127.0,103.21837109899755
2018-36,4,28.71390711375647,38.33437735542027,122.75,115.78509958020663
2018-37,5,20.72283802692102,23.329188930796565,127.8,111.93366483274333
2018-38,4,11.839513399303225,14.060450545482734,122.25,123.99395211927425
2018-39,4,5.418576167513063,6.5988969397082435,129.0,123.58142383248693
2018-40,5,15.129559769176462,20.679243874120296,142.6,144.49994348907825
2018-41,4,14.514226948945204,19.166816813435716,142.75,129.25729524724628
2018-42,5,20.994345973651082,23.00156190379765,153.6,135.41439413319776
2018-43,5,137.35039710543336,215.05092949409993,252.0,147.30654672720237
2018-44,5,223.2577817547573,258.53743534487637,168.2,383.53131223948293
2018-45,5,178.078780915663,236.62485426437283,142.8,303.4438755612524
2018-46,5,24.418337821148988,27.6886878219175,134.0,139.20205546740533
2018-47,4,10.299678145055662,13.139414723130995,128.0,124.88130788007885
2018-48,5,27.627824962859638,38.242967329289854,155.0,134.03277135175725
2018-49,5,32.53055628939559,33.152619646674665,171.2,150.21733221126883
2018-50,5,28.93434808026519,33.26908561534707,151.8,163.21195467938148
2018-51,5,11.924946629181605,17.66824585192116,126.2,136.16310698481342
2018-52,4,20.519655500177514,24.26481408719167,117.25,134.64108686404262
2019-01,4,95.44925409717743,100.34482232672492,39.25,134.69925409717743
2019-02,2,105.50009002136981,117.46491232222509,157.5,51.99990997863018
2019-05,1,18.2099950898166,18.2099950898166,179.0,160.7900049101834
2019-06,5,16.62730021586452,20.92875389573533,117.8,102.68275269767332
2019-07,4,95.1557099872908,130.9056545626741,126.5,214.81194907368524
2019-08,5,76.59168577917774,111.01167412384243,125.0,201.59168577917774
2019-09,5,51.370195641216945,62.529028161765865,131.8,183.17019564121694
2019-10,5,21.572141130419944,24.380557786455718,157.8,136.22785886958005
2019-11,5,9.49919917974683,11.019941280672164,134.8,130.08601709678214
