month,n_days,mae,rmse,actual_mean,pred_mean
2018-09,13,38.99451739107284,45.84633115551404,124.53846153846153,118.05018366591456
2018-10,22,56.84624713086621,109.11266547378781,174.9090909090909,125.125269269313
2018-11,21,33.22089728753995,40.15689645585392,141.71428571428572,128.03302529797568
2018-12,19,36.94689262888995,45.894492003063675,142.89473684210526,157.84272577945777
2019-01,5,62.39802396452795,68.14026478490825,84.2,118.86032402463825
2019-02,19,16.58545560351803,21.175557569158954,128.0,120.92110771348706
2019-03,20,65.60306427177294,94.42268693655544,133.75,191.51418201515486
2019-04,22,35.04415979065592,42.47517868771123,155.6818181818182,134.1981994059081
2019-05,21,27.476332250431554,38.61116463706058,149.71428571428572,150.41732618589145
2019-06,20,19.749779264156082,23.45799719237148,156.05,143.36157556933009
2019-07,22,72.86335290073659,79.83669891362642,219.63636363636363,146.77301073562703
2019-08,21,98.6786038438957,131.52134924914972,256.4761904761905,179.1283098287396
